2023-09-15 13:12:12,982 INFO    StreamThr :1703452 [internal.py:wandb_internal():86] W&B internal server running at pid: 1703452, started at: 2023-09-15 13:12:12.981492
2023-09-15 13:12:12,985 DEBUG   HandlerThread:1703452 [handler.py:handle_request():144] handle_request: status
2023-09-15 13:12:12,987 INFO    WriterThread:1703452 [datastore.py:open_for_write():85] open: /home/yxdong/nano-gpt-test/nanoGPT-eva/wandb/run-20230915_131212-vil8tc1l/run-vil8tc1l.wandb
2023-09-15 13:12:12,993 DEBUG   SenderThread:1703452 [sender.py:send():369] send: header
2023-09-15 13:12:13,056 DEBUG   SenderThread:1703452 [sender.py:send():369] send: run
2023-09-15 13:12:14,460 INFO    SenderThread:1703452 [dir_watcher.py:__init__():211] watching files in: /home/yxdong/nano-gpt-test/nanoGPT-eva/wandb/run-20230915_131212-vil8tc1l/files
2023-09-15 13:12:14,461 INFO    SenderThread:1703452 [sender.py:_start_run_threads():1100] run started: vil8tc1l with start time 1694783532.976908
2023-09-15 13:12:14,463 DEBUG   SenderThread:1703452 [sender.py:send_request():396] send_request: summary_record
2023-09-15 13:12:14,464 INFO    SenderThread:1703452 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-09-15 13:12:14,473 DEBUG   HandlerThread:1703452 [handler.py:handle_request():144] handle_request: check_version
2023-09-15 13:12:14,474 DEBUG   SenderThread:1703452 [sender.py:send_request():396] send_request: check_version
2023-09-15 13:12:15,329 DEBUG   HandlerThread:1703452 [handler.py:handle_request():144] handle_request: run_start
2023-09-15 13:12:15,349 DEBUG   HandlerThread:1703452 [system_info.py:__init__():31] System info init
2023-09-15 13:12:15,349 DEBUG   HandlerThread:1703452 [system_info.py:__init__():46] System info init done
2023-09-15 13:12:15,350 INFO    HandlerThread:1703452 [system_monitor.py:start():181] Starting system monitor
2023-09-15 13:12:15,350 INFO    SystemMonitor:1703452 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-09-15 13:12:15,351 INFO    HandlerThread:1703452 [system_monitor.py:probe():201] Collecting system info
2023-09-15 13:12:15,352 INFO    SystemMonitor:1703452 [interfaces.py:start():190] Started cpu monitoring
2023-09-15 13:12:15,353 INFO    SystemMonitor:1703452 [interfaces.py:start():190] Started disk monitoring
2023-09-15 13:12:15,354 INFO    SystemMonitor:1703452 [interfaces.py:start():190] Started gpu monitoring
2023-09-15 13:12:15,356 INFO    SystemMonitor:1703452 [interfaces.py:start():190] Started memory monitoring
2023-09-15 13:12:15,363 INFO    SystemMonitor:1703452 [interfaces.py:start():190] Started network monitoring
2023-09-15 13:12:15,403 DEBUG   HandlerThread:1703452 [system_info.py:probe():195] Probing system
2023-09-15 13:12:15,413 DEBUG   HandlerThread:1703452 [system_info.py:_probe_git():180] Probing git
2023-09-15 13:12:15,433 DEBUG   HandlerThread:1703452 [system_info.py:_probe_git():188] Probing git done
2023-09-15 13:12:15,433 DEBUG   HandlerThread:1703452 [system_info.py:probe():240] Probing system done
